Date,Time,Year,Month,Week,Day name,Latitude,Longitude,Type,Depth,Depth error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
02.01.1965,13:44:18,1965,1,0,Saturday,19.246,145.616,Earthquake,131.6,0,0,6,MW,0,0,0,0,0,0,ISCGEM860706,ISCGEM,ISCGEM,ISCGEM,Automatic
04.01.1965,11:29:49,1965,1,1,Monday,1.863,127.352,Earthquake,80,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM860737,ISCGEM,ISCGEM,ISCGEM,Automatic
05.01.1965,18:05:58,1965,1,1,Tuesday,-20.579,-173.972,Earthquake,20,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM860762,ISCGEM,ISCGEM,ISCGEM,Automatic
08.01.1965,18:49:43,1965,1,1,Friday,-59.076,-23.557,Earthquake,15,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM860856,ISCGEM,ISCGEM,ISCGEM,Automatic
09.01.1965,13:32:50,1965,1,1,Saturday,11.938,126.427,Earthquake,15,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM860890,ISCGEM,ISCGEM,ISCGEM,Automatic
10.01.1965,13:36:32,1965,1,2,Sunday,-13.405,166.629,Earthquake,35,0,0,6.7,MW,0,0,0,0,0,0,ISCGEM860922,ISCGEM,ISCGEM,ISCGEM,Automatic
12.01.1965,13:32:25,1965,1,2,Tuesday,27.357,87.867,Earthquake,20,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM861007,ISCGEM,ISCGEM,ISCGEM,Automatic
15.01.1965,23:17:42,1965,1,2,Friday,-13.309,166.212,Earthquake,35,0,0,6,MW,0,0,0,0,0,0,ISCGEM861111,ISCGEM,ISCGEM,ISCGEM,Automatic
16.01.1965,11:32:37,1965,1,2,Saturday,-56.452,-27.043,Earthquake,95,0,0,6,MW,0,0,0,0,0,0,ISCGEMSUP861125,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
17.01.1965,10:43:17,1965,1,3,Sunday,-24.563,178.487,Earthquake,565,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM861148,ISCGEM,ISCGEM,ISCGEM,Automatic
17.01.1965,20:57:41,1965,1,3,Sunday,-6.807,108.988,Earthquake,227.9,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM861155,ISCGEM,ISCGEM,ISCGEM,Automatic
